MCC,Description,Required Abbreviation (Payment Brand) M,Required Abbreviation (Payment Brand) V,Valid Payment Brand(s)
3760,Halekulani Hotel/Waikiki Parc,,,"V, M"
3761,Primadonna Hotel and Casino,,,"V, M"
3762,Whiskey Pete’s Hotel and Casino,,,"V, M"
3763,Chateau Elan Winery and Resort,,,"V, M"
3764,Beau Rivage Hotel and Casino,,,"V, M"
3765,Bellagio,,,"V, M"
3766,Fremont Hotel and Casino,,,"V, M"
3767,Main Street Station Hotel and Casino,,,"V, M"
3768,Silver Star Hotel and Casino,,,"V, M"
3769,Stratosphere Hotel and Casino,,,"V, M"
3770,Springhill Suites,,,"V, M"
3771,Caesars Hotel and Casino,,,"V, M"
3772,Nemacolin Woodlands,,,"V, M"
3773,Venetian Resort Hotel and Casino,,,"V, M"
3774,New York-New York Hotel and Casino,,,"V, M"
3775,Sands Resort,,,"V, M"
3776,Nevele Grande Resort and Country Club,,,"V, M"
3777,Mandalay Bay Resort,,,"V, M"
3778,Four Points Hotels,,,"V, M"
3779,W Hotels,,,"V, M"
3780,Disneyland Resorts,,,"V, M"
3781,Patricia Grand Resort Hotels,,,"V, M"
3782,Rosen Hotel and Resorts,,,"V, M"
3783,Town and Country Resort and Convention Center,,,"V, M"
3784,First Hospitality Hotels,,,"V, M"
3785,Outrigger Hotels and Resorts,,,"V, M"
3786,Ohana Hotels of Hawaii,,,"V, M"
3787,Caribe Royal Resort Suite and Villas,,,"V, M"
3788,Ala Moana Hotel,,,"V, M"
3789,Smugglers Notch Resort,,,"V, M"
3790,Raffles Hotels,,,"V, M"
3791,Staybridge Suites,,,"V, M"
3792,Claridge Casino Hotel,,,"V, M"
3793,The Flamingo Hotels,,,"V, M"
3794,Grand Casino Hotels,,,"V, M"
3795,Paris Las Vegas Hotel,,,"V, M"
3796,Peppermill Hotel Casino,,,"V, M"
3797,Atlantic City Hilton,,,"V, M"
3798,Embassy Vacation Resort,,,"V, M"
3799,Hale Koa Hotel,,,"V, M"
3800,Homestead Suites,,,"V, M"
3801,Wilderness Hotel and Resort,,,"V, M"
3802,The Palace Hotel,,,"V, M"
3803,The Wigwam Golf Resort and Spa,,,M
3804,The Diplomat Country Club and Spa,,,M
3805,The Atlantic,,,M
3806,Princeville Resort,,,M
3807,Element,,,"V, M"
3808,LXR (Luxury Resorts),,,"V, M"
3809,Settle Inn,,,M
3810,La Costa Resort,,,M
3811,Premier Travel Inns,,,"V, M"
3812,Hyatt Place,,,"V, M"
3813,Hotel Indigo,,,"V, M"
3814,The Roosevelt Hotel NY,,,"V, M"
3815,Nickelodeon Family Suites by Holiday Inn,,,"V, M"
3816,Home2Suites,,,"V, M"
3817,Affinia,,,M
3818,Mainstay Suites,,,"V, M"
3819,Oxford Suites,,,"V, M"
3820,Jumeirah Essex House,,,"V, M"
3821,Caribe Royal,,,"V, M"
3822,Crossland,,,"V, M"
3823,Grand Sierra Resort,,,"V, M"
3824,Aria,,,"V, M"
3825,Vdara,,,"V, M"
3826,Autograph,,,"V, M"
3827,Galt House,,,"V, M"
3828,Cosmopolitan of Las Vegas,,,"V, M"
3829,Country Inn By Carlson,,,"V, M"
3830,Park Plaza Hotel,,,"V, M"
3831,Waldorf,,,"V, M"
4011,Вантажні залізничні перевезення,,,"V, M"
4111,"Приміські та міські пасажирські перевезення, включаючи пороми",,,"V, M"
4112,Пасажирські залізничні перевезення,,,"V, M"
4119,Служби швидкої допомоги,,,"V, M"
4121,Таксі та лімузини,,,"V, M"
4131,Маршрутні автобуси,,,"V, M"
4214,"Автомобільні вантажні перевізники, вантажоперевезення - компанії з вантажоперевезень та зберігання, місцева курʼєрська служба",,,"V, M"
4215,"Кур'єрські послуги - повітря та земля, експедитори вантажів",,,"V, M"
4225,"Громадські склади - ферми, холодильні товари, зберігання товарів домогосподарств",,,"V, M"
4411,Круїзні перевезення,,,"V, M"
4457,Оренда та прокат човнів,,,"V, M"
4468,Яхтинговий сервіс,,,"V, M"
4511,"Авіаперевізники, авіакомпанії",,,"V, M"
4582,"Аеропорти, термінали аеропортів, льотні поля",,,"V, M"
4722,Туристичні агенції та туроператори,,,"V, M"
4723,Пакетні туроператори (лише Німеччина),,,V
4761,"Телемаркетинг послуг, пов'язаних з подорожами та вітамінів",,,TSYS
4784,Дорожні збори (платні дороги),,,"V, M"
4789,Транспортні послуги,,,"V, M"
4812,"Телекомунікаційне обладнання, включаючи продаж телефонів",,,"V, M"
4813,Поставники телекомунікаційних послуг,,,M
4814,"Телекомунікаційні послуги, включаючи, але не обмежуючись ними, передплачені телефонні послуги та повторювані телефонні послуги",,,"V, M"
4816,Комп'ютерна мережа/інформаційні послуги,,,"V, M"
4821,Телеграфні послуги,,,"V, M"
4829,Грошові перекази,,,"V, M"
4899,"Кабель, супутник та інші платні телебачення та радіо послуги",,,"V, M"
4900,"Комунальні послуги - електричні, газ, опалення, сміття, вода",,,"V, M"
5013,Приладдя для автомобільних транспортних засобів та нові деталі,,,"V, M"
5021,Офісні та комерційні меблі,,,"V, M"
5039,Будівельні матеріали,,,"V, M"
5044,Офісне обладнання,,,"V, M"
5045,"Комп'ютери, комп'ютерне периферійне обладнання, програмне забезпечення",,,"V, M"
5046,Комерційне обладнання,,,"V, M"
5047,Стоматологічне/лабораторне/медичне/офтальмологічне лікарняне обладнання,,,"V, M"
5051,Центри та офіси з обробки металів,,,"V, M"
5065,Електричні деталі та обладнання,,,"V, M"
5072,Апаратне обладнання та приладдя,,,"V, M"
5074,Обладнання для сантехніки та опалення,,,"V, M"
5085,Промисловість,,,"V, M"
5094,"Дорогоцінні камені та метали, годинники та ювелірні вироби",,,"V, M"
5099,Товари тривалого користування,,,"V, M"
5111,"Канцтовари, офісні товари, друк та письмовий папір",,,"V, M"
5122,"Наркотики, власники наркотиків та наркотики Sundries",,,"V, M"
5131,"Поштучні товари, галантерея та інші текстильні товари",,,"V, M"
5137,"Чоловічий, жіночий та дитячий спец-одяг",,,"V, M"
5139,Спец-взуття,,,"V, M"
5169,Хімічні речовини та суміжні продукти,,,"V, M"
5172,Нафта та нафтопродукти,,,"V, M"
5192,"Книги, періодичні видання та газети",,,"V, M"
5193,Квіти та послуги флористів,,,"V, M"
5198,Фарби та лаки,,,"V, M"
5199,Товари короткочасного користування,,,"V, M"
5200,Товари для дому,,,"V, M"
5211,"Будівельні матеріали, магазини пиломатеріалів",,,"V, M"
5231,"Магазин скла, фарби, шпалер",,,"V, M"
5251,Залізні товари в роздріб,,,"V, M"
5261,Магазини газонних та садових інструментів,,,"V, M"
5271,Продаж житлових фургонів,,,"V, M"
5299,Продаж меблів,,,TSYS
5300,Оптові продажі,,,"V, M"
5309,Магазини duty free,,,"V, M"
5310,Дисконт-центри,,,"V, M"
5311,Універмаги,,,"V, M"
5331,Універсами,,,"V, M"
5399,Різні товари загального вжитку,,,"V, M"
5411,"Продуктові магазини, супермаркети",,,"V, M"
5422,Свіже та морожене м'ясо,,,"V, M"
5441,"Цукерки, горіхи та кондитерські вироби",,,"V, M"
5451,Молочні продукти,,,"V, M"
5462,Пекарні,,,"V, M"
5499,Продовольчі магазини,,,"V, M"
5511,"Продаж, сервіс, ремонт, запчастини та лізинг легкових та вантажних авто",,,"V, M"
5521,Продаж вживаних авто,,,"V, M"
5532,Автомобільні шини,,,"V, M"
5533,Автомобільні запчастини та аксесуари,,,"V, M"
5541,Станції технічного обслуговування,,,"V, M"
5542,Автоматизовані бензозаправки,,,"V, M"
5551,Продаж човнів,,,"V, M"
5561,"Будинки-автопричепи, житлові та вантажні причепи",,,"V, M"
5571,Продаж мотоциклів,,,"V, M"
5592,Продаж будинків на колесах,,,"V, M"
5598,Продаж снігоходів,,,"V, M"
5599,"Різні торговці автомобільними, літальними та фермерськими обладнаннями",,,"V, M"
5611,Магазини чоловічих та хлопчачих одягу та аксесуарів,,,"V, M"
5621,Готовий жіночий одяг,,,"V, M"
5631,Жіночі аксесуари та спеціалізовані магазини,,,"V, M"
5641,Одяг для дітей та немовлят,,,"V, M"
5651,Сімейні магазини одягу,,,"V, M"
5655,Спортивний одяг та магазини одягу для їзди,,,"V, M"
5661,Взуттєві магазини,,,"V, M"
5681,Магазини хутряних виробів,,,"V, M"
5691,Чоловічі та жіночі магазини одягу,,,"V, M"
5697,Послуги кравців та швачок,,,"V, M"
5698,Магазини перук та штучного волосся,,,"V, M"
5699,Інші магазини одягу та аксесуарів,,,"V, M"
5712,"Магазини обладнання, меблів та домогосподарств (крім приладів)",,,"V, M"
5713,Покриття для підлоги,,,"V, M"
5714,"Тканини, оббивний матеріал, гардини та портьєри, жалюзі",,,"V, M"
5718,"Камін, камінні екрани та аксесуари",,,"V, M"
5719,Різні спеціалізовані магазини побутових товарів,,,"V, M"
5722,Магазини побутових приладів,,,"V, M"
5732,Продаж електроніки,,,"V, M"
5733,"Музичні магазини - музичні інструменти, фортепіано та ноти",,,"V, M"
5734,Магазини комп'ютерного програмного забезпечення,,,"V, M"
5735,Звукозаписні магазини,,,"V, M"
5811,Доставка їжі (кейтеринг),,,"V, M"
5812,Кафе та ресторани,,,"V, M"
5813,"Бари, коктейльні салони, дискотеки, нічні клуби та таверни (алкогольні напої)",,,"V, M"
5814,Ресторани швидкого харчування,,,"V, M"
5815,"Цифрові товари: книги, фільми, музика",,,"V, M"
5816,Цифрові товари: ігри,,,"V, M"
5817,Цифрові товари: програми (виключає ігри),,,"V, M"
5818,Цифрові товари: великий торговець цифровими товарами,,,"V, M"
5912,Аптеки,,,"V, M"
5921,"Розливні алкогольні напої (пиво, вино, лікер)",,,"V, M"
5931,Магазини вживаних товарів (секондхенд),,,"V, M"
5932,"Антикваріат (продаж, ремонт та реставрація)",,,"V, M"
5933,Ломбарди,,,"V, M"
5935,Автозвалище,,,"V, M"
5937,Продаж репродукцій та антикваріату,,,"V, M"
5940,Велосипедні магазини (продаж та обслуговування),,,"V, M"
5941,Магазини спортивних товарів,,,"V, M"
5942,Книгарні,,,"V, M"
5943,Магазини офісних та канцелярських товарів,,,"V, M"
5944,"Магазини з продажу годинників, ювелірних виробів та виробів зі срібла",,,"V, M"
5945,"Магазини ігор, іграшок та хобі",,,"V, M"
5946,Магазини фотообладнання та фотоприладів,,,"V, M"
5947,Сувенірні лавки,,,"V, M"
5948,Шкіряні вироби та валізи,,,"V, M"
5949,Швейні магазини,,,"V, M"
5950,Магазини кришталю та виробів зі скла,,,"V, M"
5960,Прямий маркетинг – послуги зі страхування,,,"V, M"
5961,Замовлення товарів поштою,,,TSYS
5962,Прямий маркетинг - послуги туризму,,,"V, M"
5963,"Продаж ""з рук в руки""",,,"V, M"
5964,Прямий маркетинг - торгівля за каталогами,,,"V, M"
5965,Прямий маркетинг - комбінований каталог та роздрібні продавці,,,"V, M"
5966,Прямий маркетинг - вихідний телемаркетинг,,,"V, M"
5967,Прямий маркетинг - вхідний телемаркетинг,,,"V, M"
5968,Прямий маркетинг - продаж за підпискою,,,"V, M"
5969,Прямий маркетинг - інші прямі маркетологи,,,"V, M"
5970,Художні лавки,,,"V, M"
5971,Галереї мистецтва,,,"V, M"
5972,Штампи та монети - Філателія та нумізматика,,,"V, M"
5973,Релігійні магазини,,,"V, M"
5974,Магазин гумових штампів,,,TSYS
5975,Слухові апарати,,,"V, M"
5976,"Ортопедичні товари, протези",,,"V, M"
5977,Магазини косметики,,,"V, M"
5978,"Магазини на друкарських машин (оренда, продаж, обслуговування)",,,"V, M"
5983,Дилери палива,,,"V, M"
5992,Флористика,,,"V, M"
5993,Тютюнові вироби,,,"V, M"
5994,Газетні кіоски,,,"V, M"
5995,Зоомагазини,,,"V, M"
5996,Басейни,,,"V, M"
5997,Електричні бритви,,,"V, M"
5998,Наметні та тентові магазини,,,"V, M"
5999,Різні та спеціальні роздрібні магазини,,,"V, M"
6010,Каси,,,"V, M"
6011,Банкомати,,,"V, M"
6012,Фінансові послуги,,,"V, M"
6050,Квазі-готівка - фінансові установи,,,M
6051,Квазі-готівка - нефінансові установи,,,"V, M"
6211,Цінні папери - брокери та дилери,,,"V, M"
6236,Aero servicio carabobo,,,TSYS
6300,Послуги страхових компаній,,,"V, M"
6381,Страхові премії,,,TSYS
6513,Агенти з нерухомості та менеджери - оренда,,,"V, M"
6529,Віддалене поповнення передплаченої картки - фінансові установи,,,TSYS
6530,Віддалене поповнення передплаченої картки - точки продажу,,,TSYS
6535,Права вимоги на цінні речі - фінансові установи,,,TSYS
6536,Грошові перекази всередині країни,,,M
6537,Грошові перекази поза межами країни,,,M
6538,Грошові перекази - списання,,,M
6539,Фінансова транзакція (за винятком грошових переказів),,,M
6540,Поповнення небанківських карток,,,M
6611,Переплати,,,TSYS
6760,Заощаджувальні облігації,,,TSYS
7011,"Житло - готелі, мотелі, курорти",,,"V, M"
7012,Таймшер,,,"V, M"
7032,Спортивні та рекреаційні табори,,,"V, M"
7033,Кемпінги та причепні парки,,,"V, M"
7210,Клінінг,,,"V, M"
7211,Пральні,,,"V, M"
7216,Хімчистки,,,"V, M"
7217,Очищення килимів та оббивки,,,"V, M"
7221,Фотографічні студії,,,"V, M"
7230,Перукарні та салони краси,,,"V, M"
7251,"Магазини для чищення капелюхів, ремонт взуття",,,"V, M"
7261,Ритуальні послуги та кремація,,,"V, M"
7273,Послуги знайомств,,,"V, M"
7276,Служба підготовки податків,,,"V, M"
7277,"Консультаційні послуги (борг, шлюб)",,,"V, M"
7278,Оптові закупівлі (послуги посередників),,,"V, M"
7280,Пацієнт лікарні - списання коштів,,,TSYS
7295,Послуги няні,,,TSYS
7296,Оренда одягу,,,"V, M"
7297,Масажні салони,,,"V, M"
7298,Спа салони,,,"V, M"
7299,Інші послуги,,,"V, M"
7311,Рекламні послуги,,,"V, M"
7321,Агентства звітності про споживчий кредит,,,"V, M"
7332,Послуги синьки та фотокопіювання,,,TSYS
7333,"Комерційне мистецтво, графіка, фотографія",,,"V, M"
7338,"Служби швидкої копії, відтворення та креслення",,,"V, M"
7339,Стенографічні та секретарські служби,,,"V, M"
7342,Послуги з винищення та дезінфекції,,,"V, M"
7349,"Прибирання та обслуговування, послуги з двірників",,,"V, M"
7361,Агентства з працевлаштування та тимчасові допомоги,,,"V, M"
7372,"Комп'ютерне програмування, обробка даних та проектування інтегрованих систем",,,"V, M"
7375,Послуги з пошуку інформації,,,"V, M"
7379,Технічне обслуговування та ремонт комп'ютера,,,"V, M"
7392,"Послуги консалтингу, управління та зв'язків з громадськістю",,,"V, M"
7393,"Детективні агенції, захисні агенції, служби безпеки, включаючи броньовані автомобілі, собаки-охоронці",,,"V, M"
7394,"Обладнання та лізингові послуги, оренда меблів, оренда інструментів",,,"V, M"
7395,Фотостудії,,,"V, M"
7399,Бізнес-послуги,,,"V, M"
7512,Агентство з прокату автомобілів,,,"V, M"
7513,Прокат вантажівок,,,"V, M"
7519,Оренда автомобілів та рекреаційних транспортних засобів,,,"V, M"
7523,Автомобільні парковки та гаражі,,,"V, M"
7524,Плата за парковки та гаражі,,,TSYS
7531,Автомобільні ремонтні магазини,,,"V, M"
7534,Відновлення та ремонт шин,,,"V, M"
7535,Автомобільні фарби,,,"V, M"
7538,Автомобільні магазини,,,"V, M"
7542,Мийка,,,"V, M"
7549,Служби буксирування,,,"V, M"
7622,Ремонт електроніки,,,"V, M"
7623,Ремонт кондиціонерів та холодильників,,,"V, M"
7629,Ремонт побутової техніки та електроприладів,,,"V, M"
7631,Ремонт ювелірних виробів та гоинників,,,"V, M"
7641,Ремонт меблів,,,"V, M"
7692,Ремонт зварюванням,,,"V, M"
7699,Різні ремонтні магазини та пов'язані з цим послуги,,,"V, M"
7800,Державна лотерея,,,"V, M"
7801,Казино (в Інтернеті),,,"V, M"
7802,Скачки на конях або собачі забіги,,,"V, M"
7829,Виробництво та дистрибуція відеофільмів,,,"V, M"
7832,Кінотеатри,,,"V, M"
7833,Кінотеатри - експрес-оплата,,,TSYS
7841,Магазини прокату DVD/відеокасети,,,"V, M"
7911,"Танцювальні зали, школи та студії",,,"V, M"
7922,"Театральні виробники (крім кінофільмів), агенції з продажу квитків",,,"V, M"
7929,"Групи, оркестри та різні розваги",,,"V, M"
7932,Більярд,,,"V, M"
7933,Боулінг,,,"V, M"
7941,"Атлетичні поля, комерційний спорт, професійні спортивні клуби, промоутери спорту",,,"V, M"
7991,Туристичні атракціони та експонати,,,"V, M"
7992,Курси для гольфу,,,"V, M"
7993,Відеоігри,,,"V, M"
7994,Заклади відеоігор,,,"V, M"
7995,Ігрові ставки,,,"V, M"
7996,"Парки розваг, карнавали, цирки, ворожки",,,"V, M"
7997,Приватні клуби,,,"V, M"
7998,"Акваріуми, дельфінарії, зоопарки",,,"V, M"
7999,Послуги відпочинку,,,"V, M"
8011,Лікарі,,,"V, M"
8021,Стоматологи та ортодонти,,,"V, M"
8031,Остеопати,,,"V, M"
8041,Хіропрактики,,,"V, M"
8042,Окулісти та офтальмологи,,,"V, M"
8043,"Оптики, оптичні товари та окуляри",,,"V, M"
8044,Оптичні товари та окуляри,,,TSYS
8049,"Хіроподисти, ортопеди",,,"V, M"
8050,Догляд та заклади персонального обслуговування,,,"V, M"
8062,Лікарні,,,"V, M"
8071,Стоматологічні та медичні лабораторії,,,"V, M"
8099,"Медичні практики, медичні послуги",,,"V, M"
8111,"Адвокати, юридичні послуги",,,"V, M"
8211,"Школи, початкові та середні",,,"V, M"
8220,"Коледжі, університети, професійні школи та молодші коледжі",,,"V, M"
8241,"Школи, листування",,,"V, M"
8244,"Школи, бізнес та секретар",,,"V, M"
8249,"Школи, торгівля та професійно-технічні",,,"V, M"
8299,Школи та освітні послуги,,,"V, M"
8351,Служби по догляду за дітьми,,,"V, M"
8398,Благодійні та соціальні служби,,,"V, M"
8641,Асоціації,,,"V, M"
8651,Політичні організації,,,"V, M"
8661,Релігійні організації,,,"V, M"
8675,Автомобільні асоціації,,,"V, M"
8699,Інші організації,,,"V, M"
8734,Випробувальні лабораторії (немедичні),,,"V, M"
8743,Випробувальні лабораторії (немедичні),,,TSYS
8911,Архітектурні та інженерні послуги,,,"V, M"
8931,"Служби бухгалтерського обліку, аудиту",,,"V, M"
8999,Професійні послуги,,,"V, M"
9034,I-Purchasing Pilot,,,TSYS
9211,"Судові витрати, включаючи аліменти",,,"V, M"
9222,Штрафи,,,"V, M"
9223,Платежі за заставу та облігації,,,"V, M"
9311,Податкові платежі,,,"V, M"
9399,Інші державні послуги,,,"V, M"
9401,I-Purchasing Pilot,,,TSYS
9402,Державні поштові послуги,,,"V, M"
9405,Внутрішньоурядові закупівлі,,,"V, M"
9700,Кешбек,,,V
9701,Служба перевірки облікових даних,,,V
9702,Служба підтримки,,,V
9751,Супермаркети Великобританії,,,TSYS
9752,Британські автозаправні станції,,,TSYS
9754,Азартні ігри,,,M
9950,Купівлі всередині компанії,,,"V,M"
